,created_at,id,text,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,hashtags,user_mentions
0,Fri Oct 22 01:31:34 +0000 2021,1451360548826746927,.@GwynethPaltrow has been living in my guest house. https://t.co/aWqa04665E,False,N/A,N/A,N/A,False,51,690,N/A,['GwynethPaltrow']
1,Thu Oct 21 21:37:46 +0000 2021,1451301712942092288,5 days left until #KindScience can be yours! #OurKindOfScience https://t.co/aKi5355Xob,False,N/A,N/A,N/A,False,46,548,"['KindScience', 'OurKindOfScience']",N/A
2,Thu Oct 21 20:48:49 +0000 2021,1451289391264002051,Please enjoy @ArloParks’ beautiful performance of #Hope. https://t.co/niLW4r0lgO,False,N/A,N/A,N/A,False,39,394,['Hope'],['arloparks']
3,Thu Oct 21 18:47:32 +0000 2021,1451258870328791043,@KrisJenner @khloekardashian ❤️❤️❤️,False,1.451251561007485e+18,23613479.0,KrisJenner,False,4,96,N/A,"['KrisJenner', 'khloekardashian']"
4,Thu Oct 21 18:34:03 +0000 2021,1451255478055407630,Happy #SpiritDay https://t.co/wyiLUglLR7,False,N/A,N/A,N/A,True,68,611,['SpiritDay'],N/A
5,Thu Oct 21 17:08:00 +0000 2021,1451233822847078401,True picked out @KhloeKardashian’s Halloween costume this year. https://t.co/2zh6oyqJeY,False,N/A,N/A,N/A,False,47,729,N/A,['khloekardashian']
6,Thu Oct 21 16:05:12 +0000 2021,1451218018365677570,"Happy birthday, @KimKardashian. You’re an incredible friend, trend-setter, entrepreneur, mother, activist, and now - comedian.",False,N/A,N/A,N/A,False,85,1366,N/A,['KimKardashian']
7,Thu Oct 21 00:15:23 +0000 2021,1450978987405049857,In this week’s episode of #Momsplaining… https://t.co/8ooFkCglwH,False,N/A,N/A,N/A,True,33,454,['Momsplaining'],N/A
8,Wed Oct 20 21:09:28 +0000 2021,1450932201260929025,"Gwyneth Paltrow survived on a deserted island for three days. No, really. https://t.co/dur4II1eyq",False,N/A,N/A,N/A,False,69,896,N/A,N/A
9,Wed Oct 20 19:56:10 +0000 2021,1450913755466924032,"My writer Rick is very excited about the work #ZenWTR is doing to restore our oceans. Also, he goes by Tree now.… https://t.co/IrzKsrMwDw",True,N/A,N/A,N/A,False,45,434,['ZenWTR'],N/A
10,Wed Oct 20 18:53:00 +0000 2021,1450897857892864002,Happy Birthday @JohnKrasinski❤️ https://t.co/XOAlbmNFmA,False,N/A,N/A,N/A,False,79,1399,N/A,['johnkrasinski']
11,Wed Oct 20 17:23:06 +0000 2021,1450875236480471040,Remembering this iconic moment on #InternationalSlothDay. @KristenBell https://t.co/eugJlOxUeB,False,N/A,N/A,N/A,False,116,1544,['InternationalSlothDay'],['KristenBell']
12,Wed Oct 20 16:16:33 +0000 2021,1450858485717950468,RT @glaad: Happy #InternationalPronounsDay! What are your pronouns?,False,N/A,N/A,N/A,False,106,0,['InternationalPronounsDay'],['glaad']
13,Tue Oct 19 22:16:17 +0000 2021,1450586627521220610,Here’s how @RealChalamet injured Jason Momoa on the set of #Dune. https://t.co/kbVbTdsJhy,False,N/A,N/A,N/A,False,86,939,['Dune'],['RealChalamet']
14,Tue Oct 19 19:35:36 +0000 2021,1450546189980483588,.@HunterWoodhall and @tar___ruh are Olympians who have overcome so much and found love through it all. https://t.co/WQRHk3uioW,False,N/A,N/A,N/A,False,151,1642,N/A,"['hunterwoodhall', 'tar___ruh']"
15,Tue Oct 19 17:31:01 +0000 2021,1450514837214162947,"RT @OhBubble: It's #MomConfessions time! This week, Mila Kunis confesses her biggest parenting fail, talks raising an independent daughter,…",False,N/A,N/A,N/A,False,26,0,['MomConfessions'],['OhBubble']
16,Tue Oct 19 16:38:57 +0000 2021,1450501736645332994,That time Jason Momoa geeked out meeting @BillieEilish. https://t.co/1Wxr1VWqHU,False,N/A,N/A,N/A,False,86,1255,N/A,['billieeilish']
17,Tue Oct 19 00:03:13 +0000 2021,1450251152797298690,Peter Rosalita is #AGT's newest superstar and here’s why... https://t.co/G4MOOcDVyZ,False,N/A,N/A,N/A,False,117,1242,['AGT'],N/A
18,Mon Oct 18 22:57:13 +0000 2021,1450234543399575553,It can be hard to know what to say if someone you know is diagnosed with Breast Cancer. #BreastCancerAwarenessMonth… https://t.co/5Hbppk6PtL,True,N/A,N/A,N/A,False,63,513,['BreastCancerAwarenessMonth'],N/A
19,Mon Oct 18 20:14:52 +0000 2021,1450193685123981314,I really thought @DavidDuchovny explaining booty calls to Prince Charles was gonna be the lie... https://t.co/NFkZaeV31X,False,N/A,N/A,N/A,False,152,1601,N/A,['davidduchovny']
20,Mon Oct 18 18:09:58 +0000 2021,1450162252984639488,Thank god the pug had bones today. #bonesday,False,N/A,N/A,N/A,False,73,1027,['bonesday'],N/A
21,Mon Oct 18 16:47:34 +0000 2021,1450141515993415680,Breaking… @LizaKoshy is dating again. https://t.co/WElI5OzZi3,False,N/A,N/A,N/A,False,63,1097,N/A,['lizakoshy']
22,Mon Oct 18 00:50:31 +0000 2021,1449900667569467393,Happy Birthday Eminem. Come visit me for my last season❤️,False,N/A,N/A,N/A,False,928,15735,N/A,N/A
23,Sun Oct 17 19:56:29 +0000 2021,1449826670588747781,Trying to decide what to eat for dinner tonight… so many pastabilities… #NationalPastaDay,False,N/A,N/A,N/A,False,116,2088,['NationalPastaDay'],N/A
24,Sat Oct 16 17:59:01 +0000 2021,1449434721499246596,Getting ready for a show with Heather Currie and #KindScience. https://t.co/dbVyKoFAi3,False,N/A,N/A,N/A,False,96,1807,['KindScience'],N/A
25,Fri Oct 15 22:37:10 +0000 2021,1449142332608057344,"I’m so excited to share Kind Science with you! Kind Science is everything you need, nothing you don’t. Coming Octob… https://t.co/6Sq2nUOagG",True,N/A,N/A,N/A,False,134,1627,N/A,N/A
26,Fri Oct 15 17:36:49 +0000 2021,1449066746007080963,Let’s see if we can get this adorable kid dinosaur expert to 100 subscribers you guys. @MarioLopezViva https://t.co/4JmqcmiGoI,False,N/A,N/A,N/A,False,79,850,N/A,['mariolopezviva']
27,Fri Oct 15 00:37:10 +0000 2021,1448810142271639553,RT @Ludacris: We are less than 24 hours away from the premiere of my new animated series #KarmasWorld (@KarmasWorldHQ) coming to @netflix T…,False,N/A,N/A,N/A,False,59,0,['KarmasWorld'],"['Ludacris', 'KarmasWorldHQ', 'netflix']"
28,Thu Oct 14 23:29:03 +0000 2021,1448793001455538176,.@MiketheMiz is finding muscles he never knew he had on #DWTS. @MarioLopezViva https://t.co/SgljDWaifO,False,N/A,N/A,N/A,False,78,731,['DWTS'],"['mikethemiz', 'mariolopezviva']"
29,Thu Oct 14 21:57:41 +0000 2021,1448770009459671063,"Prince Harry wants us all to sign this. It’s important to me, too. #SAVETHEOKAVANGO https://t.co/Md9wbecWjy https://t.co/HOidwszGvq",False,N/A,N/A,N/A,False,486,1887,['SAVETHEOKAVANGO'],N/A
