,tweet_id,retweeter_id,retweeter_location
0,1461380998743015425,1434970333958791168,
1,1461380998743015425,861629679886880768,"Dallas, TX"
2,1461380998743015425,1458654513536012290,
3,1461380998743015425,1447090222198579202,
4,1461380998743015425,1369660971342393345,
5,1461380998743015425,1034572631025098754,El Mundo
6,1461380998743015425,1453402113309089804,
7,1461380998743015425,1425487033309581314,Bristol  🇪🇺 🇬🇧
8,1461380998743015425,1409329636954148869,"Surrey, British Columbia"
9,1461380998743015425,10221,philly
10,1461380998743015425,1053386113199603712,Brazil
11,1461380998743015425,1455874022584029197,
12,1461380998743015425,38105260,"Melbourne, Victoria"
13,1461380998743015425,1455980057499869185,"Chernobyl,Sector 4"
14,1461380998743015425,1426813251635929090,
15,1461380998743015425,1093612658425647105,
16,1461380998743015425,323677398,"Trivandrum, India 🇮🇳"
17,1461380998743015425,901169035,Vancouver_Canada
18,1461380998743015425,1460620032103567360,
19,1461380998743015425,1247239520841428994,बिधवान लोहारू भिवानी 
20,1461380998743015425,148405713,"Kolkata, India"
21,1461380998743015425,843999904598974465,THENI.TAMILNADU
22,1461380998743015425,2802698166,"Kühriedweg 28, CH 8050 Tsüri"
23,1461380998743015425,800285150160396289,"Honolulu, HI"
24,1461380998743015425,82350646,"Porto, Portugal"
25,1461380998743015425,695375397114896384,Ghana
26,1461380998743015425,734968627292700672,"Sekondi Takoradi, Ghana"
27,1461380998743015425,1448161503958507520,
28,1461380998743015425,1397762762848276480,
29,1461380998743015425,3254450900,
30,1461380998743015425,1406290116419719177,
31,1461380998743015425,701314473328414720,Philippines 🇵🇭
32,1461380998743015425,1006742115630665728,"Accra, Ghana"
33,1461380998743015425,1205842090321731584,"Accra, Ghana"
34,1461380998743015425,1455128301350096897,"Bengaluru, India"
35,1461380998743015425,771284286989217796,allagadda
36,1461380998743015425,1461424663658217478,
37,1461380998743015425,196707379,paradise
38,1461380998743015425,2897748295,"Lucknow, india"
39,1461380998743015425,768338742,Philippines
40,1461380998743015425,168865188,"Colorado Springs, CO"
41,1461380998743015425,1269713136174747650,
42,1461380998743015425,2841616232,Active on tweeter since June21
43,1461380998743015425,848574265347592192,
44,1461380998743015425,1383169623575580678,
45,1461380998743015425,1461391146769424388,United States
46,1461380998743015425,1460359517993062404,"Dallas, TX"
47,1461380998743015425,1114761930818895872,"Patiala, Punjab (IN)"
48,1461380998743015425,1459323366570082308,
49,1461380998743015425,502804503,
50,1461380998743015425,1459478221951578112,
51,1461380998743015425,1440714238138355723,
52,1461380998743015425,1290643998764400640,
53,1461380998743015425,1104272413137743872,"Worcester, England"
54,1461380998743015425,630303921,"Los Angeles, CA"
55,1461380998743015425,1424259622039289859,"Dhaka, Bangladesh"
56,1461380998743015425,1088810262625468416,
57,1461380998743015425,1442521812412231686,
58,1461380998743015425,149300800,San Francisco
59,1461380998743015425,1411712914482941955,
60,1461380998743015425,1182258156170293249,Riyadh
61,1461380998743015425,24266406,"Los Angeles, CA"
62,1461380998743015425,1410668472535822339,
63,1461380998743015425,1420296350852395011,
64,1461380998743015425,535467278,India
65,1461380998743015425,321338593,Hyderabad
66,1461380998743015425,258788589,
67,1461380998743015425,12545942,
68,1461380998743015425,1368934959763894279,"Accra, Ghana"
69,1461380998743015425,3094232313,Italia
70,1461380998743015425,2784368676,
71,1461380998743015425,1454291036075819012,
72,1461380998743015425,1457563907690749953,"Charleroi, Belgique"
73,1461380998743015425,1417106674679123976,Pakistan
74,1461380998743015425,1416843351400271873,Bed 
75,1461380998743015425,1615109970,
76,1461380998743015425,1072444792003543041,
77,1461380998743015425,2466337027,"Melbourne, Victoria"
78,1461380998743015425,771241255690903552,
79,1461380998743015425,1404010692957675520,Entebbe
80,1461380998743015425,1389221151864406017,"Lombardia, Italia"
81,1461380998743015425,17734635,"Tallinn, Estonia"
82,1461380998743015425,1296478049396051968,
83,1461380998743015425,1067438556,
84,1461380998743015425,1367864986152833028,"Mumbai, India"
85,1461380998743015425,146096329,Quito
86,1461380998743015425,14051114,Italy
87,1461380998743015425,1120785403919732736,
88,1461380998743015425,412869039,indonesia
89,1461380998743015425,2582439872,Driver
90,1461380998743015425,1238984784,God's Presence
91,1461380998743015425,1454312788449497089,
92,1461108508250689537,861629679886880768,"Dallas, TX"
93,1461108508250689537,1458654513536012290,
94,1461108508250689537,1911042636,"Charlotte, NC"
95,1461108508250689537,1447090222198579202,
96,1461108508250689537,1104792411144941568,
97,1461108508250689537,1462046051356098564,
98,1461108508250689537,1461979141624905731,
99,1461108508250689537,1259657206628261889,"Cincinnati, OH"
100,1461108508250689537,4837155879,
101,1461108508250689537,1409329636954148869,"Surrey, British Columbia"
102,1461108508250689537,1461734400979259393,
103,1461108508250689537,1454933525669552130,"Dallas, TX"
104,1461108508250689537,705618630927634432,
105,1461108508250689537,1455874022584029197,
106,1461108508250689537,729186620,United States
107,1461108508250689537,1301057082121023489,Gopalapatnam 
108,1461108508250689537,163197616,Southern Ontario
109,1461108508250689537,82350646,"Porto, Portugal"
110,1461108508250689537,38105260,"Melbourne, Victoria"
111,1461108508250689537,1278399972216582147,
112,1461108508250689537,771284286989217796,allagadda
113,1461108508250689537,1461374751922954245,
114,1461108508250689537,1425487033309581314,Bristol  🇪🇺 🇬🇧
115,1461108508250689537,3094232313,Italia
116,1461108508250689537,258788589,
117,1461108508250689537,627037825,UK
118,1461108508250689537,793585473956425728,
119,1461108508250689537,1416843351400271873,Bed 
120,1461108508250689537,1034572631025098754,El Mundo
121,1461108508250689537,1461360059728875528,
122,1461108508250689537,196707379,paradise
123,1461108508250689537,1441455210459656204,
124,1461108508250689537,2802698166,"Kühriedweg 28, CH 8050 Tsüri"
125,1461108508250689537,1320412055816503296,
126,1461108508250689537,1461344001508855811,
127,1461108508250689537,829731090344636417,
128,1461108508250689537,1785583254,World Wide
129,1461108508250689537,360702726,Texas
130,1461108508250689537,1459134607622750213,
131,1461108508250689537,1459131554098257926,
132,1461108508250689537,2897748295,"Lucknow, india"
133,1461108508250689537,1182258156170293249,Riyadh
134,1461108508250689537,99234737,Switzerland
135,1461108508250689537,1217175475648266241,India up
136,1461108508250689537,1461259596211924995,adana 
137,1461108508250689537,1458328238317445121,
138,1461108508250689537,4405884976,
139,1461108508250689537,149300800,San Francisco
140,1461108508250689537,1031803852192808960,Far East Asia
141,1461108508250689537,323677398,"Trivandrum, India 🇮🇳"
142,1461108508250689537,1420296350852395011,
143,1461108508250689537,1461227507647229964,Louisiana 
144,1461108508250689537,2919465908,India
145,1461108508250689537,1371119796075560966,
146,1461108508250689537,1391667856249561088,United States
147,1461108508250689537,1406290116419719177,
148,1461108508250689537,289894203,
149,1461108508250689537,695375397114896384,Ghana
150,1461108508250689537,978809286,
151,1461108508250689537,966254485575274496,"Eskişehir, Türkiye"
152,1461108508250689537,148405713,"Kolkata, India"
153,1461108508250689537,1342648539575320576,velala
154,1461108508250689537,1460961441411125248,
155,1461108508250689537,1444431536997212166,
156,1461108508250689537,1417106674679123976,Pakistan
157,1461108508250689537,3343688313,"Kampala, Uganda"
158,1461108508250689537,1178358448108572672,|Dubai
159,1461108508250689537,1383169623575580678,
160,1461108508250689537,277262146,"San Luis Obispo, CA"
161,1461108508250689537,1431951134684598276,Kabwohe Sheema
162,1461108508250689537,954357652141744128,"बिजनौर, भारत 🇮🇳🇮🇳 "
163,1461108508250689537,3912362663,
164,1461108508250689537,1260147703687700480,
165,1461108508250689537,1159958966153015296,
166,1461108508250689537,867736019394625536,"Gridley, CA"
167,1461108508250689537,3236611272,
168,1461108508250689537,1393835523228135425,
169,1461108508250689537,626830367,"Connecticut, USA"
170,1461108508250689537,1335455310060937216,देवली-टोक (राजस्थान)
171,1461108508250689537,1917215478,
172,1461108508250689537,387582927,Japan
173,1461108508250689537,1440714238138355723,
174,1461108508250689537,29103646,"Sarasota, FL"
175,1461108508250689537,1457563907690749953,"Charleroi, Belgique"
176,1461108508250689537,1104272413137743872,"Worcester, England"
177,1461108508250689537,1421049658755870723,
178,1461108508250689537,710552853656379392,"California, USA"
179,1461108508250689537,455428696,"Greensboro, NC"
180,1461034359582965763,861629679886880768,"Dallas, TX"
181,1461034359582965763,1339277494541676546,
182,1461034359582965763,1911042636,"Charlotte, NC"
183,1461034359582965763,75757108,Metaverse
184,1461034359582965763,3036891512,"Chennai, India"
185,1461034359582965763,1034572631025098754,El Mundo
186,1461034359582965763,1455583576884400135,
187,1461034359582965763,1155844896088920064,Midland Michigan
188,1461034359582965763,1455874022584029197,
189,1461034359582965763,1309939571224788992,"Delhi, India"
190,1461034359582965763,1113159183946452993,
191,1461034359582965763,82350646,"Porto, Portugal"
192,1461034359582965763,1240823855779848194,
193,1461034359582965763,771284286989217796,allagadda
194,1461034359582965763,1461374751922954245,
195,1461034359582965763,23032310,"Washington, DC"
196,1461034359582965763,1460866653923823621,
197,1461034359582965763,1108597361725456384,
198,1461034359582965763,22048180,Paradise Valley Arizona
199,1461034359582965763,1204485987339927557,
200,1461034359582965763,2802698166,"Kühriedweg 28, CH 8050 Tsüri"
201,1461034359582965763,1320412055816503296,
202,1461034359582965763,612588820,Paris
203,1461034359582965763,729186620,United States
204,1461034359582965763,323677398,"Trivandrum, India 🇮🇳"
205,1461034359582965763,3031700017,
206,1461034359582965763,1461227507647229964,Louisiana 
207,1461034359582965763,1294142578837860352,
208,1461034359582965763,148405713,"Kolkata, India"
209,1461034359582965763,1417106674679123976,Pakistan
210,1461034359582965763,2522387845,
211,1461034359582965763,322225068,"Delhi, India"
212,1461034359582965763,1260147703687700480,
213,1461034359582965763,2572502723,
214,1461034359582965763,387582927,Japan
215,1461034359582965763,1458172977405730821,United States 
216,1461034359582965763,859033187309109248,
217,1461034359582965763,1395315831160983556,
218,1461034359582965763,1162667970985779201,"Rajasthan, India"
219,1461034359582965763,1336954518479630337,
220,1461034359582965763,1114137923119669248,"Accra, Ghana Scc"
221,1461034359582965763,1406290116419719177,
222,1461034359582965763,1340226868570558464,المدينة WILAYAH PERSEKUTUAN🌐
223,1461034359582965763,35817996,"Seattle, WA"
224,1461034359582965763,701314473328414720,Philippines 🇵🇭
225,1461034359582965763,267757118,
226,1461034359582965763,695375397114896384,Ghana
227,1461034359582965763,1099097543718436874,
228,1461034359582965763,49344076,Earth 🇪🇺🌍
229,1461034359582965763,1035832665021136897,
230,1461034359582965763,1240059200811618305,JAPAN
231,1461034359582965763,1459509038354415618,
232,1461034359582965763,2385061622,"Sao Paulo, Brazil"
233,1461034359582965763,357534755,
234,1461034359582965763,1182258156170293249,Riyadh
235,1461034359582965763,125949331,"Glasgow & Edinburgh, UK"
236,1461034359582965763,1315729337723879425,
237,1461034359582965763,258788589,
238,1461034359582965763,1785583254,World Wide
239,1461034359582965763,1187326702457778177,"New Delhi, India"
240,1461034359582965763,290184444,
241,1461034359582965763,1383100009135034376,
242,1461034359582965763,4287867324,"Kingston, Ontario"
243,1461034359582965763,1008261242631307266,the subcontinent
244,1461034359582965763,1457410889934647305,
245,1461034359582965763,2897748295,"Lucknow, india"
246,1461034359582965763,260756478,Australia
247,1461034359582965763,1176670577387433984,
248,1461034359582965763,1443674067857461255,
249,1461034359582965763,30510570,
250,1461034359582965763,1442521812412231686,
251,1461034359582965763,1366836543999139850,"Baltimore, MD"
252,1461034359582965763,716304009120849920,
253,1461034359582965763,1207428788369248256,"Denver, CO"
254,1461034359582965763,867736019394625536,"Gridley, CA"
255,1461034359582965763,1440714238138355723,
256,1461034359582965763,359085676,"Amman, Hashemite Kingdom of Jo"
257,1461034359582965763,1460924914655920132,
258,1461034359582965763,3094232313,Italia
259,1461034359582965763,130429503,
260,1461034359582965763,1088810262625468416,
261,1461034359582965763,237797736,
262,1461034359582965763,582926783,
263,1461034359582965763,1485664291,"Brookline, Massachusetts, USA"
264,1461034359582965763,1245765960671342592,"Johannesburg, South Africa"
265,1461034359582965763,2437333400,"現在俺のスマホから１号以外のアカを作成するコトが出来ぬよーTwitter社に監視されとります笑 自身のスマホで新規アカ作られへんので知人の不必要なアカウントをいただきますた助かりますた┏○""ﾍﾟｺ  他者への攻撃目的だけでTwitterやるかいフツー笑 そんなんアホでもわかるー笑"
266,1461034359582965763,848574265347592192,
267,1461034359582965763,4405884976,
268,1461034359582965763,2464152010,izmir
269,1461034359582965763,2316330944,
270,1461034359582965763,324795586,كندا- برتش كولومبيا
271,1461034359582965763,1056867002,
272,1461034359582965763,1337235087642005506,
273,1461034359582965763,1300540498457833473,
274,1461034359582965763,19236683,Citizen of the World
275,1460734002264883205,861629679886880768,"Dallas, TX"
276,1460734002264883205,1911042636,"Charlotte, NC"
277,1460734002264883205,958685377442672641,The earth
278,1460734002264883205,497092292,"Bonn, Allemagne"
279,1460734002264883205,1410968742381723648,
280,1460734002264883205,1219940290506698752,
281,1460734002264883205,59843500,42651 #Solingen #Klingenstadt
282,1460734002264883205,793585473956425728,
283,1460734002264883205,1319372627694260226,"Sibiu, România"
284,1460734002264883205,1269022496713515009,
285,1460734002264883205,1155844896088920064,Midland Michigan
286,1460734002264883205,1461734400979259393,
287,1460734002264883205,1460965522519072770,
288,1460734002264883205,873439990956441600,
289,1460734002264883205,148405713,"Kolkata, India"
290,1460734002264883205,1460620032103567360,
291,1460734002264883205,1458182907017764868,
292,1460734002264883205,800285150160396289,"Honolulu, HI"
293,1460734002264883205,1012921511273955328,
294,1460734002264883205,771284286989217796,allagadda
295,1460734002264883205,891568615018774530,
296,1460734002264883205,984617447121653767, U.S.A
297,1460734002264883205,1442541072115109892,
298,1460734002264883205,2802698166,"Kühriedweg 28, CH 8050 Tsüri"
299,1460734002264883205,1381864463373008901,
300,1460734002264883205,1333803905394720768,"New Delhi, India"
301,1460734002264883205,1433020752211611652,Rwanda
302,1460734002264883205,1433661125103546368,
303,1460734002264883205,1461259596211924995,adana 
304,1460734002264883205,1371119796075560966,
305,1460734002264883205,1455166535769669636,
306,1460734002264883205,1342648539575320576,velala
307,1460734002264883205,1441582893390655493,
308,1460734002264883205,1371133165658574853,
309,1460734002264883205,1455450361783734276,
310,1460734002264883205,1114137923119669248,"Accra, Ghana Scc"
311,1460734002264883205,1403323462714904581,
312,1460734002264883205,1460290289625493505,
313,1460734002264883205,822546585607409670,LA & NY
314,1460734002264883205,1457410889934647305,
315,1460734002264883205,272278343,"Houston, Texas, U.S.A."
316,1460734002264883205,2897748295,"Lucknow, india"
317,1460734002264883205,830152087434620929,
318,1460734002264883205,1345651577802002437,"Kolkata, India"
319,1460734002264883205,1461001181594017796,
320,1460734002264883205,1402433846910414854,
321,1460734002264883205,918096933838733312,"Bengaluru, India"
322,1460734002264883205,1018257129902395392,"Brasília, Brasil"
323,1460734002264883205,837772065285419008,"New Delhi, India"
324,1460734002264883205,1315632073819009024,
325,1460734002264883205,1934007494,"London, UK."
326,1460734002264883205,1361913743500697600,
327,1460734002264883205,1460966554867474432,
328,1460734002264883205,1269713136174747650,
329,1460734002264883205,247132435,"Matthews, NC USA"
330,1460734002264883205,924947578474528768,佐賀 伊万里市
331,1460734002264883205,1186966535988006912,
332,1460734002264883205,1458964399935344640,"Florida, USA"
333,1460734002264883205,1444263078426824708,"Cittadella, Veneto"
334,1460734002264883205,1445738753956323333,
335,1460734002264883205,167848727,"Cusco, Peru"
336,1460734002264883205,357534755,
337,1460734002264883205,1433421363394629634,
338,1460734002264883205,3094232313,Italia
