,Unnamed: 0,tweet_id,retweeter_id,retweeter_location
1,1,1461380998743015425,861629679886880768,United States
5,5,1461380998743015425,1034572631025098754,None
7,7,1461380998743015425,1425487033309581314,United States
8,8,1461380998743015425,1409329636954148869,Canada
9,9,1461380998743015425,10221,None
10,10,1461380998743015425,1053386113199603712,Brazil
12,12,1461380998743015425,38105260,Australia
13,13,1461380998743015425,1455980057499869185,Romania
16,16,1461380998743015425,323677398,None
17,17,1461380998743015425,901169035,Canada
19,19,1461380998743015425,1247239520841428994,None
20,20,1461380998743015425,148405713,India
21,21,1461380998743015425,843999904598974465,None
22,22,1461380998743015425,2802698166,None
23,23,1461380998743015425,800285150160396289,United States
24,24,1461380998743015425,82350646,Portugal
25,25,1461380998743015425,695375397114896384,Ghana
26,26,1461380998743015425,734968627292700672,Ghana
31,31,1461380998743015425,701314473328414720,Philippines
32,32,1461380998743015425,1006742115630665728,Ghana
33,33,1461380998743015425,1205842090321731584,Ghana
34,34,1461380998743015425,1455128301350096897,India
35,35,1461380998743015425,771284286989217796,None
37,37,1461380998743015425,196707379,United States
38,38,1461380998743015425,2897748295,India
39,39,1461380998743015425,768338742,Philippines
40,40,1461380998743015425,168865188,United States
42,42,1461380998743015425,2841616232,None
45,45,1461380998743015425,1461391146769424388,None
46,46,1461380998743015425,1460359517993062404,United States
47,47,1461380998743015425,1114761930818895872,India
53,53,1461380998743015425,1104272413137743872,United Kingdom
54,54,1461380998743015425,630303921,United States
55,55,1461380998743015425,1424259622039289859,Bangladesh
58,58,1461380998743015425,149300800,Mali
60,60,1461380998743015425,1182258156170293249,Saudi Arabia
61,61,1461380998743015425,24266406,United States
64,64,1461380998743015425,535467278,India
65,65,1461380998743015425,321338593,India
68,68,1461380998743015425,1368934959763894279,Ghana
69,69,1461380998743015425,3094232313,None
72,72,1461380998743015425,1457563907690749953,United States
73,73,1461380998743015425,1417106674679123976,Pakistan
74,74,1461380998743015425,1416843351400271873,None
77,77,1461380998743015425,2466337027,Australia
79,79,1461380998743015425,1404010692957675520,Uganda
80,80,1461380998743015425,1389221151864406017,None
81,81,1461380998743015425,17734635,Estonia
84,84,1461380998743015425,1367864986152833028,India
85,85,1461380998743015425,146096329,Ecuador
86,86,1461380998743015425,14051114,Italy
88,88,1461380998743015425,412869039,Indonesia
89,89,1461380998743015425,2582439872,Australia
90,90,1461380998743015425,1238984784,None
92,92,1461108508250689537,861629679886880768,United States
94,94,1461108508250689537,1911042636,United States
99,99,1461108508250689537,1259657206628261889,United States
101,101,1461108508250689537,1409329636954148869,Canada
103,103,1461108508250689537,1454933525669552130,United States
106,106,1461108508250689537,729186620,None
107,107,1461108508250689537,1301057082121023489,None
108,108,1461108508250689537,163197616,Canada
109,109,1461108508250689537,82350646,Portugal
110,110,1461108508250689537,38105260,Australia
112,112,1461108508250689537,771284286989217796,None
114,114,1461108508250689537,1425487033309581314,United States
115,115,1461108508250689537,3094232313,None
117,117,1461108508250689537,627037825,Russia
119,119,1461108508250689537,1416843351400271873,None
120,120,1461108508250689537,1034572631025098754,None
122,122,1461108508250689537,196707379,United States
124,124,1461108508250689537,2802698166,None
128,128,1461108508250689537,1785583254,None
129,129,1461108508250689537,360702726,United States
132,132,1461108508250689537,2897748295,India
133,133,1461108508250689537,1182258156170293249,Saudi Arabia
134,134,1461108508250689537,99234737,Switzerland
135,135,1461108508250689537,1217175475648266241,India
136,136,1461108508250689537,1461259596211924995,Turkey
139,139,1461108508250689537,149300800,Mali
140,140,1461108508250689537,1031803852192808960,Cameroon
141,141,1461108508250689537,323677398,None
143,143,1461108508250689537,1461227507647229964,United States
144,144,1461108508250689537,2919465908,India
146,146,1461108508250689537,1391667856249561088,None
149,149,1461108508250689537,695375397114896384,Ghana
151,151,1461108508250689537,966254485575274496,Turkey
152,152,1461108508250689537,148405713,India
153,153,1461108508250689537,1342648539575320576,None
156,156,1461108508250689537,1417106674679123976,Pakistan
157,157,1461108508250689537,3343688313,Uganda
158,158,1461108508250689537,1178358448108572672,None
160,160,1461108508250689537,277262146,United States
161,161,1461108508250689537,1431951134684598276,None
162,162,1461108508250689537,954357652141744128,None
166,166,1461108508250689537,867736019394625536,United States
169,169,1461108508250689537,626830367,United States
170,170,1461108508250689537,1335455310060937216,None
172,172,1461108508250689537,387582927,Japan
174,174,1461108508250689537,29103646,United States
175,175,1461108508250689537,1457563907690749953,United States
176,176,1461108508250689537,1104272413137743872,United Kingdom
178,178,1461108508250689537,710552853656379392,United States
179,179,1461108508250689537,455428696,United States
180,180,1461034359582965763,861629679886880768,United States
182,182,1461034359582965763,1911042636,United States
183,183,1461034359582965763,75757108,None
184,184,1461034359582965763,3036891512,India
185,185,1461034359582965763,1034572631025098754,None
187,187,1461034359582965763,1155844896088920064,United States
189,189,1461034359582965763,1309939571224788992,India
191,191,1461034359582965763,82350646,Portugal
193,193,1461034359582965763,771284286989217796,None
195,195,1461034359582965763,23032310,United States
198,198,1461034359582965763,22048180,United States
200,200,1461034359582965763,2802698166,None
202,202,1461034359582965763,612588820,United States
203,203,1461034359582965763,729186620,None
204,204,1461034359582965763,323677398,None
206,206,1461034359582965763,1461227507647229964,United States
208,208,1461034359582965763,148405713,India
209,209,1461034359582965763,1417106674679123976,Pakistan
211,211,1461034359582965763,322225068,India
214,214,1461034359582965763,387582927,Japan
215,215,1461034359582965763,1458172977405730821,None
218,218,1461034359582965763,1162667970985779201,India
220,220,1461034359582965763,1114137923119669248,Ghana
222,222,1461034359582965763,1340226868570558464,None
223,223,1461034359582965763,35817996,United States
224,224,1461034359582965763,701314473328414720,Philippines
226,226,1461034359582965763,695375397114896384,Ghana
228,228,1461034359582965763,49344076,United States
230,230,1461034359582965763,1240059200811618305,Japan
232,232,1461034359582965763,2385061622,Brazil
234,234,1461034359582965763,1182258156170293249,Saudi Arabia
235,235,1461034359582965763,125949331,Russia
238,238,1461034359582965763,1785583254,None
239,239,1461034359582965763,1187326702457778177,India
242,242,1461034359582965763,4287867324,Canada
243,243,1461034359582965763,1008261242631307266,None
245,245,1461034359582965763,2897748295,India
246,246,1461034359582965763,260756478,Australia
251,251,1461034359582965763,1366836543999139850,United States
253,253,1461034359582965763,1207428788369248256,United States
254,254,1461034359582965763,867736019394625536,United States
256,256,1461034359582965763,359085676,Jordan
258,258,1461034359582965763,3094232313,None
263,263,1461034359582965763,1485664291,United States
264,264,1461034359582965763,1245765960671342592,South Africa
265,265,1461034359582965763,2437333400,None
268,268,1461034359582965763,2464152010,None
270,270,1461034359582965763,324795586,None
274,274,1461034359582965763,19236683,Turkey
275,275,1460734002264883205,861629679886880768,United States
276,276,1460734002264883205,1911042636,United States
277,277,1460734002264883205,958685377442672641,United States
278,278,1460734002264883205,497092292,Germany
281,281,1460734002264883205,59843500,None
283,283,1460734002264883205,1319372627694260226,Romania
285,285,1460734002264883205,1155844896088920064,United States
289,289,1460734002264883205,148405713,India
292,292,1460734002264883205,800285150160396289,United States
294,294,1460734002264883205,771284286989217796,None
296,296,1460734002264883205,984617447121653767,None
298,298,1460734002264883205,2802698166,None
300,300,1460734002264883205,1333803905394720768,India
301,301,1460734002264883205,1433020752211611652,Rwanda
303,303,1460734002264883205,1461259596211924995,Turkey
306,306,1460734002264883205,1342648539575320576,None
310,310,1460734002264883205,1114137923119669248,Ghana
313,313,1460734002264883205,822546585607409670,None
315,315,1460734002264883205,272278343,United States
316,316,1460734002264883205,2897748295,India
318,318,1460734002264883205,1345651577802002437,India
321,321,1460734002264883205,918096933838733312,India
